cust_id,target
id00504708,0.35
id00504711,0.29
id00504713,0.28
id00504714,0.42
id00504716,0.28
id00504719,0.25
id00504722,0.45
id00504723,0.36
id00504725,0.17
id00504728,0.15
id00504729,0.2
id00504732,0.5
id00504735,0.41
id00504737,0.13
id00504739,0.35
id00504740,0.11
id00504749,0.29
id00504755,0.3
id00504764,0.48
id00504766,0.09
id00504767,0.28
id00504768,0.21
id00504769,0.33
id00504770,0.36
id00504771,0.34
id00504779,0.36
id00504780,0.07
id00504784,0.32
id00504786,0.24
id00504790,0.46
id00504791,0.45
id00504792,0.28
id00504793,0.29
id00504795,0.32
id00504799,0.17
id00504804,0.44
id00504806,0.14
id00504809,0.3
id00504813,0.24
id00504814,0.33
id00504819,0.31
id00504820,0.47
id00504824,0.4
id00504825,0.35
id00504831,0.36
id00504834,0.29
id00504835,0.18
id00504836,0.26
id00504839,0.31
id00504844,0.32
id00504845,0.3
id00504847,0.33
id00504848,0.14
id00504850,0.44
id00504851,0.33
id00504853,0.23
id00504855,0.4
id00504856,0.24
id00504858,0.19
id00504859,0.33
id00504863,0.34
id00504864,0.15
id00504869,0.41
id00504870,0.41
id00504872,0.23
id00504873,0.18
id00504876,0.46
id00504880,0.27
id00504881,0.28
id00504882,0.23
id00504885,0.36
id00504891,0.2
id00504893,0.26
id00504894,0.26
id00504896,0.17
id00504897,0.41
id00504903,0.39
id00504906,0.16
id00504907,0.17
id00504911,0.24
id00504913,0.23
id00504915,0.25
id00504916,0.29
id00504918,0.21
id00504920,0.35
id00504921,0.29
id00504923,0.24
id00504924,0.24
id00504925,0.39
id00504928,0.47
id00504930,0.32
id00504931,0.44
id00504932,0.36
id00504938,0.28
id00504941,0.29
id00504943,0.42
id00504946,0.23
id00504957,0.1
id00504961,0.34
id00504967,0.21
id00504968,0.45
id00504971,0.28
id00504976,0.44
id00504977,0.35
id00504979,0.14
id00504980,0.32
id00504985,0.38
id00504987,0.26
id00504990,0.29
id00504994,0.33
id00504996,0.28
id00504999,0.35
id00505000,0.38
id00505004,0.28
id00505005,0.24
id00505006,0.38
id00505007,0.36
id00505009,0.24
id00505011,0.21
id00505015,0.45
id00505017,0.16
id00505020,0.46
id00505024,0.46
id00505025,0.27
id00505027,0.13
id00505029,0.42
id00505032,0.15
id00505033,0.31
id00505034,0.28
id00505036,0.41
id00505041,0.51
id00505050,0.27
id00505051,0.18
id00505055,0.41
id00505056,0.28
id00505062,0.4
id00505063,0.27
id00505065,0.28
id00505072,0.35
id00505073,0.34
id00505074,0.35
id00505075,0.27
id00505078,0.34
id00505086,0.18
id00505091,0.11
id00505092,0.37
id00505095,0.26
id00505096,0.23
id00505097,0.23
id00505099,0.39
id00505100,0.37
id00505101,0.35
id00505106,0.2
id00505111,0.33
id00505114,0.32
id00505117,0.52
id00505120,0.33
id00505121,0.2
id00505123,0.38
id00505125,0.26
id00505127,0.41
id00505129,0.18
id00505131,0.31
id00505132,0.39
id00505135,0.3
id00505136,0.26
id00505137,0.27
id00505138,0.36
id00505139,0.47
id00505142,0.33
id00505143,0.31
id00505145,0.18
id00505148,0.27
id00505162,0.26
id00505166,0.42
id00505175,0.5
id00505176,0.45
id00505177,0.19
id00505178,0.35
id00505182,0.29
id00505185,0.25
id00505189,0.4
id00505193,0.37
id00505194,0.12
id00505199,0.37
id00505200,0.24
id00505201,0.47
id00505210,0.28
id00505213,0.27
id00505215,0.47
id00505216,0.51
id00505218,0.15
id00505220,0.37
id00505222,0.16
id00505228,0.4
id00505230,0.4
id00505232,0.3
id00505233,0.29
id00505237,0.3
id00505240,0.31
id00505243,0.39
id00505246,0.11
id00505251,0.52
id00505256,0.43
id00505257,0.18
id00505258,0.34
id00505262,0.39
id00505265,0.55
id00505267,0.16
id00505268,0.32
id00505270,0.31
id00505273,0.33
id00505276,0.38
id00505277,0.33
id00505285,0.43
id00505286,0.36
id00505288,0.47
id00505289,0.44
id00505295,0.21
id00505296,0.34
id00505299,0.29
id00505304,0.33
id00505305,0.44
id00505306,0.36
id00505308,0.25
id00505311,0.4
id00505313,0.47
id00505314,0.45
id00505315,0.11
id00505316,0.32
id00505327,0.34
id00505330,0.3
id00505335,0.37
id00505337,0.44
id00505339,0.41
id00505341,0.31
id00505343,0.38
id00505345,0.33
id00505348,0.36
id00505349,0.25
id00505352,0.35
id00505353,0.26
id00505355,0.35
id00505362,0.38
id00505363,0.28
id00505365,0.65
id00505367,0.43
id00505372,0.28
id00505373,0.18
id00505377,0.36
id00505378,0.24
id00505380,0.24
id00505386,0.39
id00505387,0.38
id00505388,0.44
id00505390,0.25
id00505391,0.58
id00505392,0.32
id00505393,0.36
id00505395,0.44
id00505396,0.14
id00505401,0.25
id00505403,0.31
id00505404,0.3
id00505405,0.39
id00505406,0.18
id00505408,0.16
id00505410,0.42
id00505411,0.37
id00505412,0.37
id00505415,0.45
id00505416,0.31
id00505418,0.18
id00505419,0.28
id00505423,0.27
id00505424,0.36
id00505427,0.33
id00505428,0.17
id00505430,0.28
id00505432,0.2
id00505435,0.4
id00505440,0.29
id00505441,0.14
id00505443,0.34
id00505449,0.39
id00505453,0.33
id00505454,0.33
id00505455,0.32
id00505457,0.16
id00505460,0.29
id00505461,0.33
id00505464,0.49
id00505467,0.19
id00505468,0.15
id00505470,0.3
id00505471,0.41
id00505476,0.45
id00505477,0.2
id00505479,0.27
id00505483,0.34
id00505485,0.2
id00505487,0.42
id00505489,0.42
id00505496,0.25
id00505498,0.28
id00505499,0.3
id00505500,0.2
id00505502,0.26
id00505504,0.25
id00505507,0.17
id00505508,0.4
id00505509,0.4
id00505510,0.39
id00505514,0.48
id00505518,0.51
id00505520,0.36
id00505522,0.45
id00505523,0.33
id00505527,0.35
id00505529,0.31
id00505530,0.19
id00505532,0.45
id00505534,0.23
id00505542,0.24
id00505546,0.26
id00505547,0.36
id00505548,0.39
id00505549,0.2
id00505550,0.32
id00505554,0.35
id00505557,0.41
id00505558,0.36
id00505569,0.44
id00505571,0.34
id00505572,0.4
id00505573,0.12
id00505575,0.42
id00505576,0.25
id00505581,0.39
id00505588,0.22
id00505589,0.28
id00505590,0.32
id00505592,0.13
id00505595,0.35
id00505597,0.45
id00505598,0.27
id00505600,0.28
id00505604,0.2
id00505605,0.4
id00505607,0.47
id00505610,0.31
id00505612,0.24
id00505617,0.35
id00505624,0.28
id00505625,0.48
id00505626,0.31
id00505628,0.18
id00505629,0.29
id00505636,0.34
id00505638,0.32
id00505639,0.25
id00505642,0.24
id00505647,0.4
id00505650,0.4
id00505651,0.25
id00505654,0.22
id00505655,0.38
id00505658,0.32
id00505660,0.35
id00505663,0.49
id00505669,0.28
id00505670,0.37
id00505675,0.26
id00505676,0.36
id00505677,0.28
id00505678,0.27
id00505679,0.51
id00505682,0.39
id00505683,0.41
id00505686,0.36
id00505689,0.35
id00505690,0.48
id00505694,0.21
id00505696,0.55
id00505697,0.37
id00505698,0.24
id00505700,0.23
id00505701,0.39
id00505706,0.18
id00505708,0.48
id00505710,0.42
id00505712,0.19
id00505716,0.49
id00505717,0.26
id00505719,0.53
id00505720,0.22
id00505722,0.28
id00505723,0.39
id00505727,0.51
id00505730,0.23
id00505732,0.38
id00505735,0.26
id00505736,0.43
id00505742,0.28
id00505743,0.42
id00505744,0.2
id00505746,0.38
id00505747,0.33
id00505748,0.34
id00505752,0.18
id00505754,0.35
id00505759,0.22
id00505762,0.35
id00505766,0.34
id00505771,0.33
id00505772,0.33
id00505773,0.32
id00505780,0.3
id00505781,0.21
id00505783,0.42
id00505785,0.28
id00505787,0.32
id00505789,0.49
id00505791,0.27
id00505792,0.44
id00505794,0.34
id00505795,0.26
id00505796,0.11
id00505799,0.31
id00505801,0.33
id00505807,0.42
id00505808,0.21
id00505809,0.17
id00505814,0.45
id00505817,0.4
id00505818,0.3
id00505824,0.16
id00505831,0.5
id00505833,0.3
id00505834,0.43
id00505836,0.22
id00505838,0.33
id00505844,0.27
id00505845,0.45
id00505847,0.22
id00505849,0.05
id00505850,0.43
id00505851,0.21
id00505852,0.13
id00505854,0.31
id00505855,0.37
id00505857,0.52
id00505858,0.44
id00505866,0.29
id00505868,0.4
id00505870,0.38
id00505872,0.37
id00505873,0.36
id00505874,0.5
id00505877,0.18
id00505878,0.37
id00505880,0.23
id00505882,0.3
id00505883,0.12
id00505884,0.35
id00505886,0.33
id00505888,0.2
id00505891,0.43
id00505894,0.17
id00505895,0.35
id00505896,0.42
id00505897,0.34
id00505904,0.34
id00505905,0.33
id00505907,0.28
id00505913,0.25
id00505917,0.32
id00505918,0.28
id00505919,0.41
id00505920,0.35
id00505925,0.28
id00505927,0.37
id00505931,0.3
id00505935,0.31
id00505940,0.32
id00505942,0.27
id00505943,0.17
id00505944,0.24
id00505946,0.41
id00505947,0.3
id00505950,0.26
id00505954,0.19
id00505955,0.33
id00505958,0.24
id00505959,0.45
id00505961,0.33
id00505962,0.1
id00505966,0.29
id00505968,0.38
id00505970,0.31
id00505971,0.29
id00505972,0.37
id00505973,0.37
id00505974,0.14
id00505976,0.35
id00505978,0.22
id00505982,0.42
id00505987,0.48
id00505988,0.38
id00505990,0.21
id00505995,0.21
id00505997,0.36
id00506001,0.44
id00506003,0.33
id00506004,0.36
id00506005,0.5
id00506007,0.5
id00506009,0.26
id00506013,0.39
id00506014,0.32
id00506016,0.06
id00506017,0.36
id00506021,0.26
id00506023,0.37
id00506025,0.35
id00506028,0.17
id00506029,0.34
id00506031,0.19
id00506037,0.39
id00506040,0.33
id00506043,0.25
id00506045,0.2
id00506047,0.32
id00506050,0.12
id00506052,0.39
id00506054,0.12
id00506057,0.35
id00506059,0.09
id00506061,0.23
id00506063,0.35
id00506064,0.1
id00506067,0.22
id00506070,0.37
id00506072,0.38
id00506073,0.34
id00506076,0.43
id00506079,0.26
id00506080,0.38
id00506088,0.38
id00506091,0.27
id00506092,0.25
id00506094,0.38
id00506095,0.41
id00506100,0.29
id00506108,0.44
id00506111,0.28
id00506114,0.18
id00506115,0.31
id00506116,0.24
id00506117,0.25
id00506123,0.36
id00506125,0.28
id00506126,0.33
id00506129,0.19
id00506132,0.22
id00506133,0.21
id00506137,0.42
id00506144,0.28
id00506145,0.32
id00506148,0.27
id00506151,0.26
id00506152,0.41
id00506153,0.53
id00506155,0.34
id00506157,0.24
id00506158,0.33
id00506159,0.29
id00506160,0.26
id00506161,0.32
id00506164,0.26
id00506169,0.39
id00506170,0.24
id00506173,0.37
id00506181,0.38
id00506182,0.33
id00506183,0.29
id00506186,0.44
id00506194,0.36
id00506195,0.24
id00506196,0.11
id00506197,0.24
id00506201,0.23
id00506202,0.36
id00506204,0.38
id00506205,0.28
id00506206,0.45
id00506207,0.35
id00506208,0.23
id00506209,0.28
id00506212,0.37
id00506216,0.63
id00506223,0.15
id00506226,0.16
id00506227,0.3
id00506228,0.42
id00506230,0.41
id00506234,0.31
id00506236,0.35
id00506237,0.41
id00506240,0.26
id00506244,0.27
id00506246,0.05
id00506247,0.15
id00506248,0.46
id00506250,0.13
id00506251,0.34
id00506255,0.24
id00506257,0.38
id00506261,0.27
id00506266,0.14
id00506268,0.36
id00506274,0.28
id00506278,0.47
id00506279,0.22
id00506280,0.18
id00506292,0.37
id00506293,0.22
id00506299,0.25
id00506300,0.41
id00506302,0.41
id00506303,0.49
id00506310,0.39
id00506311,0.28
id00506313,0.41
id00506316,0.33
id00506318,0.27
id00506319,0.31
id00506321,0.3
id00506323,0.17
id00506324,0.13
id00506329,0.41
id00506330,0.12
id00506334,0.34
id00506335,0.21
id00506336,0.38
id00506337,0.49
id00506338,0.18
id00506343,0.45
id00506345,0.33
id00506347,0.14
id00506349,0.23
id00506354,0.44
id00506355,0.41
id00506356,0.28
id00506357,0.39
id00506362,0.22
id00506371,0.4
id00506373,0.14
id00506374,0.3
id00506378,0.4
id00506382,0.23
id00506383,0.15
id00506387,0.46
id00506389,0.15
id00506391,0.38
id00506395,0.31
id00506397,0.52
id00506400,0.26
id00506403,0.33
id00506405,0.46
id00506409,0.24
id00506413,0.48
id00506417,0.42
id00506421,0.2
id00506422,0.24
id00506425,0.47
id00506427,0.19
id00506428,0.41
id00506429,0.36
id00506430,0.39
id00506433,0.1
id00506434,0.3
id00506437,0.13
id00506439,0.23
id00506440,0.25
id00506443,0.24
id00506444,0.33
id00506445,0.37
id00506446,0.39
id00506455,0.31
id00506456,0.27
id00506458,0.22
id00506461,0.45
id00506468,0.17
id00506475,0.55
id00506477,0.17
id00506479,0.3
id00506480,0.24
id00506481,0.23
id00506483,0.39
id00506485,0.13
id00506491,0.18
id00506492,0.4
id00506496,0.53
id00506497,0.37
id00506500,0.28
id00506505,0.38
id00506507,0.24
id00506509,0.26
id00506510,0.18
id00506513,0.38
id00506514,0.2
id00506515,0.3
id00506516,0.33
id00506518,0.38
id00506520,0.13
id00506522,0.26
id00506523,0.38
id00506525,0.36
id00506526,0.4
id00506527,0.28
id00506529,0.4
id00506531,0.4
id00506532,0.45
id00506533,0.24
id00506534,0.08
id00506535,0.17
id00506539,0.38
id00506542,0.47
id00506543,0.45
id00506544,0.36
id00506547,0.26
id00506551,0.46
id00506553,0.15
id00506555,0.49
id00506557,0.43
id00506558,0.28
id00506559,0.2
id00506563,0.31
id00506572,0.16
id00506576,0.44
id00506577,0.22
id00506578,0.29
id00506580,0.2
id00506586,0.48
id00506590,0.33
id00506592,0.1
id00506594,0.5
id00506597,0.48
id00506598,0.36
id00506599,0.35
id00506603,0.44
id00506608,0.45
id00506616,0.44
id00506620,0.3
id00506621,0.35
id00506624,0.51
id00506625,0.2
id00506627,0.2
id00506629,0.44
id00506630,0.31
id00506634,0.3
id00506636,0.47
id00506641,0.4
id00506643,0.28
id00506654,0.29
id00506656,0.25
id00506657,0.34
id00506659,0.45
id00506660,0.27
id00506665,0.22
id00506671,0.27
id00506672,0.04
id00506673,0.3
id00506675,0.17
id00506677,0.33
id00506678,0.13
id00506679,0.32
id00506680,0.21
id00506681,0.43
id00506682,0.32
id00506683,0.41
id00506685,0.23
id00506688,0.21
id00506689,0.35
id00506690,0.33
id00506691,0.28
id00506693,0.15
id00506698,0.37
id00506699,0.22
id00506700,0.39
id00506701,0.4
id00506703,0.35
id00506705,0.4
id00506706,0.51
id00506710,0.51
id00506713,0.48
id00506714,0.4
id00506717,0.4
id00506718,0.41
id00506719,0.4
id00506720,0.36
id00506723,0.4
id00506728,0.33
id00506737,0.19
id00506738,0.35
id00506741,0.38
id00506744,0.38
id00506745,0.49
id00506747,0.32
id00506751,0.47
id00506753,0.13
id00506754,0.2
id00506756,0.31
id00506757,0.25
id00506758,0.42
id00506761,0.17
id00506762,0.39
id00506763,0.31
id00506765,0.16
id00506768,0.41
id00506771,0.26
id00506772,0.13
id00506773,0.47
id00506774,0.3
id00506780,0.42
id00506783,0.17
id00506786,0.28
id00506795,0.37
id00506796,0.33
id00506797,0.39
id00506799,0.29
id00506802,0.26
id00506804,0.19
id00506806,0.44
id00506809,0.43
id00506814,0.4
id00506818,0.34
id00506820,0.29
id00506821,0.28
id00506823,0.46
id00506824,0.47
id00506827,0.31
id00506830,0.08
id00506831,0.46
id00506832,0.37
id00506833,0.13
id00506834,0.4
id00506835,0.33
id00506836,0.27
id00506842,0.32
id00506843,0.37
id00506845,0.33
id00506846,0.36
id00506848,0.29
id00506851,0.45
id00506853,0.48
id00506856,0.46
id00506860,0.39
id00506862,0.33
id00506863,0.24
id00506865,0.2
id00506867,0.31
id00506869,0.43
id00506870,0.3
id00506871,0.37
id00506874,0.17
id00506876,0.32
id00506879,0.38
id00506881,0.47
id00506884,0.2
id00506886,0.51
id00506888,0.25
id00506890,0.3
id00506894,0.32
id00506897,0.41
id00506899,0.28
id00506901,0.46
id00506902,0.16
id00506903,0.21
id00506905,0.32
id00506912,0.36
id00506914,0.43
id00506916,0.52
id00506919,0.3
id00506926,0.26
id00506929,0.43
id00506931,0.19
id00506933,0.39
id00506936,0.48
id00506937,0.37
id00506938,0.31
id00506940,0.41
id00506944,0.27
id00506947,0.43
id00506948,0.36
id00506949,0.32
id00506953,0.17
id00506958,0.41
id00506959,0.31
id00506964,0.4
id00506966,0.6
id00506972,0.43
id00506973,0.39
id00506975,0.33
id00506980,0.06
id00506981,0.36
id00506982,0.38
id00506984,0.1
id00506987,0.42
id00506989,0.3
id00506993,0.32
id00506994,0.48
id00506996,0.32
id00506998,0.28
id00507003,0.41
id00507006,0.35
id00507009,0.31
id00507010,0.35
id00507017,0.42
id00507019,0.46
id00507020,0.42
id00507024,0.38
id00507025,0.36
id00507026,0.44
id00507027,0.39
id00507029,0.4
id00507043,0.55
id00507045,0.16
id00507046,0.23
id00507051,0.3
id00507054,0.37
id00507056,0.42
id00507057,0.4
id00507068,0.35
id00507069,0.41
id00507072,0.22
id00507075,0.11
id00507078,0.37
id00507079,0.34
id00507080,0.12
id00507083,0.56
id00507084,0.18
id00507085,0.31
id00507088,0.44
id00507090,0.39
id00507092,0.48
id00507094,0.52
id00507095,0.36
id00507096,0.44
id00507097,0.49
id00507101,0.29
